iter	RMSE
0	2963.93462
1	2885.552965
2	2809.919048
3	2736.644213
4	2665.825594
5	2597.630823
6	2531.754011
7	2467.987364
8	2406.09264
9	2346.73796
10	2288.892486
11	2233.121189
12	2179.294298
13	2127.372905
14	2077.379151
15	2029.229895
16	1982.772037
17	1937.987568
18	1894.957033
19	1853.595365
20	1813.574241
21	1774.882085
22	1737.421176
23	1701.409319
24	1666.929565
25	1633.804466
26	1601.992388
27	1571.597592
28	1542.632065
29	1513.843711
30	1486.715788
31	1460.179145
32	1435.074552
33	1410.675034
34	1387.645379
35	1365.33461
36	1344.251426
37	1323.886279
38	1304.111125
39	1285.615445
40	1267.951479
41	1250.724714
42	1234.551078
43	1218.791579
44	1203.67318
45	1189.195657
46	1175.493133
47	1162.079278
48	1149.765122
49	1137.69462
50	1126.157505
51	1115.329339
52	1105.061936
53	1095.444628
54	1086.138015
55	1077.210721
56	1068.531278
57	1060.400373
58	1052.49197
59	1044.883343
60	1037.57455
61	1031.046165
62	1024.533401
63	1018.7252
64	1013.078328
65	1007.624769
66	1002.341766
67	997.4378111
68	992.3260902
69	987.6428209
70	983.2117183
71	979.039139
72	975.1303513
73	971.5674928
74	968.1819277
75	964.7818937
76	961.4127292
77	958.1805587
78	955.0359289
79	952.3809935
80	949.6432639
81	947.0722916
82	944.4998655
83	942.1794788
84	939.9741145
85	937.8783318
86	935.9926513
87	934.3111402
88	932.2055792
89	930.2792515
90	928.4449548
91	926.8535268
92	925.2552894
93	923.5615011
94	921.9822703
95	920.5028375
96	919.0527119
97	917.7271354
98	916.6949194
99	915.5213288
100	914.4432828
101	913.1533432
102	912.2051573
103	911.1157408
104	910.2278727
105	909.3708548
106	908.347082
107	907.4590864
108	906.6561821
109	905.7184156
110	904.9388869
111	904.099027
112	903.2276104
113	902.5322891
114	901.7604732
115	901.1013231
116	900.4400022
117	899.8000009
118	899.1952554
119	898.3548104
120	897.703565
121	897.0436506
122	896.4144279
123	895.8696896
124	895.3197218
125	894.8791749
126	894.3471534
127	893.8320297
128	893.3142749
129	892.7952114
130	892.2982542
131	891.8414372
132	891.4413762
133	890.918003
134	890.4577911
135	890.0482893
136	889.5893238
137	889.1256193
138	888.7036565
139	888.2053696
140	887.845715
141	887.4083743
142	887.0390989
143	886.6572318
144	886.2003892
145	885.7966276
146	885.4373448
147	885.0516199
148	884.6993808
149	884.3654743
150	884.032233
151	883.802801
152	883.3198476
153	882.8916503
154	882.6037844
155	882.3109424
156	881.8608421
157	881.6523642
158	881.3912541
159	881.019502
160	880.6478611
161	880.3104443
162	880.0232137
163	879.688622
164	879.3654874
165	879.136364
166	878.8076127
167	878.5132772
168	878.2256912
169	877.9375638
170	877.6879054
171	877.5140156
172	877.2210248
173	877.0528569
174	876.7734842
175	876.5806324
176	876.384916
177	876.1358455
178	875.9895675
179	875.8240214
180	875.5275557
181	875.3356111
182	875.122575
183	874.9463206
184	874.6993043
185	874.4461127
186	874.1509959
187	873.9398941
188	873.7352098
189	873.5022231
190	873.1921972
191	872.9873956
192	872.7797454
193	872.5767723
194	872.416713
195	872.2401267
196	872.0562865
197	871.8728834
198	871.7325063
199	871.5552427
200	871.3999523
201	871.2213244
202	871.0869891
203	870.9099058
204	870.7670881
205	870.6067962
206	870.4050746
207	870.2760907
208	870.0944593
209	869.9430028
210	869.7629157
211	869.5395508
212	869.3762138
213	869.174068
214	869.0248657
215	868.8715179
216	868.6922251
217	868.5606431
218	868.395852
219	868.3191862
220	868.1934271
221	868.0637503
222	867.8929797
223	867.7280149
224	867.584923
225	867.4152073
226	867.2208267
227	867.0690152
228	866.9082171
229	866.6667388
230	866.5417724
231	866.383372
232	866.2845989
233	866.0724219
234	865.9112758
235	865.752881
236	865.6079232
237	865.5364332
238	865.3896157
239	865.2139739
240	865.0893911
241	864.9661378
242	864.7741931
243	864.6405139
244	864.5462576
245	864.3937742
246	864.2167641
247	864.0568103
248	863.9260549
249	863.7696123
250	863.6417883
251	863.4658155
252	863.3209555
253	863.2053383
254	863.1367146
255	863.0656773
256	862.9419387
257	862.8790487
258	862.748808
259	862.5953033
260	862.4434007
261	862.3055117
262	862.2015075
263	862.0698991
264	861.9599967
265	861.8292564
266	861.7305872
267	861.5964099
268	861.4523693
269	861.290658
270	861.1655264
271	861.0996419
272	860.982628
273	860.8541948
274	860.7593363
275	860.6764092
276	860.5966931
277	860.4477458
278	860.3333254
279	860.2616775
280	860.1668999
281	859.9930643
282	859.861626
283	859.7459875
284	859.6648413
285	859.5511279
286	859.4296418
287	859.344355
288	859.2237652
289	859.1061775
290	859.0022888
291	858.9432447
292	858.8620212
293	858.7783003
294	858.6791671
295	858.6162007
296	858.5235148
297	858.4364484
298	858.292418
299	858.1920708
300	858.0839661
301	857.9641514
302	857.8989262
303	857.7977126
304	857.702946
305	857.6240057
306	857.5286917
307	857.3974267
308	857.2918595
309	857.2146186
310	857.1715589
311	857.0829713
312	857.0216488
313	856.9700616
314	856.8548605
315	856.7622843
316	856.6288303
317	856.5152054
318	856.4413508
319	856.303235
320	856.2248741
321	856.0894372
322	856.0268133
323	855.9448608
324	855.8327969
325	855.7459894
326	855.637219
327	855.5645065
328	855.5088676
329	855.4084812
330	855.328514
331	855.2660245
332	855.205896
333	855.0934317
334	855.0177442
335	854.9139779
336	854.8533119
337	854.7484925
338	854.662319
339	854.5193741
340	854.449912
341	854.3992699
342	854.3306203
343	854.2611483
344	854.1597605
345	854.0578818
346	853.9775122
347	853.8651326
348	853.7754668
349	853.6679204
350	853.6139146
351	853.5768572
352	853.4626955
353	853.3875099
354	853.2993789
355	853.2285877
356	853.144333
357	853.0912337
358	853.0246254
359	852.9448222
360	852.8619651
361	852.8009459
362	852.7260111
363	852.629911
364	852.5821734
