iter	Passed	Remaining
0	36	29523
1	86	34343
2	128	34111
3	175	34948
4	225	35890
5	259	34282
6	305	34650
7	353	35020
8	403	35438
9	469	37093
10	532	38188
11	579	38064
12	619	37512
13	655	36775
14	693	36294
15	737	36130
16	785	36156
17	828	35984
18	869	35720
19	912	35586
20	951	35280
21	994	35152
22	1032	34864
23	1080	34931
24	1149	35633
25	1232	36698
26	1337	38282
27	1418	39100
28	1444	38409
29	1512	38829
30	1568	38899
31	1616	38790
32	1668	38769
33	1710	38546
34	1754	38351
35	1794	38079
36	1836	37879
37	1877	37644
38	1920	37473
39	1975	37535
40	2025	37497
41	2073	37422
42	2112	37193
43	2151	36974
44	2190	36746
45	2234	36621
46	2271	36389
47	2315	36278
48	2352	36054
49	2392	35881
50	2433	35741
51	2472	35562
52	2504	35293
53	2538	35071
54	2575	34891
55	2614	34740
56	2655	34612
57	2715	34737
58	2755	34607
59	2798	34517
60	2836	34361
61	2875	34229
62	2913	34080
63	2952	33948
64	2995	33871
65	3035	33761
66	3078	33684
67	3130	33702
68	3180	33694
69	3231	33695
70	3280	33685
71	3328	33655
72	3374	33609
73	3446	33809
74	3499	33832
75	3558	33896
76	3599	33793
77	3639	33690
78	3677	33564
79	3717	33455
80	3751	33298
81	3790	33191
82	3828	33071
83	3871	33002
84	3907	32866
85	3952	32812
86	3992	32716
87	4035	32648
88	4071	32525
89	4105	32384
90	4140	32259
91	4176	32140
92	4215	32046
93	4253	31944
94	4300	31912
95	4340	31827
96	4387	31795
97	4431	31746
98	4473	31678
99	4516	31615
100	4583	31720
101	4640	31755
102	4688	31727
103	4730	31658
104	4773	31599
105	4829	31621
106	4879	31602
107	4921	31535
108	4971	31519
109	5032	31567
110	5092	31609
111	5165	31728
112	5221	31742
113	5266	31692
114	5325	31722
115	5378	31713
116	5426	31679
117	5468	31605
118	5515	31561
119	5559	31501
120	5609	31480
121	5650	31402
122	5690	31321
123	5727	31223
124	5769	31157
125	5807	31067
126	5856	31033
127	5903	30991
128	5957	30988
129	6019	31025
130	6074	31020
131	6132	31031
132	6174	30966
133	6220	30918
134	6264	30856
135	6317	30844
136	6370	30830
137	6425	30822
138	6470	30768
139	6515	30716
140	6629	30986
141	6729	31182
142	6779	31146
143	6829	31114
144	6875	31059
145	6923	31012
146	6973	30975
147	7017	30914
148	7062	30856
149	7113	30825
150	7166	30802
151	7229	30819
152	7296	30853
153	7356	30857
154	7406	30819
155	7454	30775
156	7511	30764
157	7562	30727
158	7619	30716
159	7708	30832
160	7779	30877
161	7856	30941
162	7942	31039
163	8022	31111
164	8083	31109
165	8140	31091
166	8184	31023
167	8234	30976
168	8277	30905
169	8320	30834
170	8359	30750
171	8407	30697
172	8447	30615
173	8489	30541
174	8533	30478
175	8572	30394
176	8613	30315
177	8649	30224
178	8687	30138
179	8728	30065
180	8770	29992
181	8815	29933
182	8853	29851
183	8896	29784
184	8937	29711
185	8980	29645
186	9024	29581
187	9086	29578
188	9135	29534
189	9194	29519
190	9245	29479
191	9302	29459
192	9368	29463
193	9424	29439
194	9477	29403
195	9527	29360
196	9584	29337
197	9640	29311
198	9693	29274
199	9744	29234
200	9796	29194
201	9854	29172
202	9896	29103
203	9942	29049
204	9993	29006
205	10050	28980
206	10117	28984
207	10167	28937
208	10220	28901
209	10266	28843
210	10319	28806
211	10397	28838
212	10467	28848
213	10523	28815
214	10573	28770
215	10632	28745
216	10682	28700
217	10733	28655
218	10783	28607
219	10832	28558
220	10880	28505
221	10937	28476
222	10984	28422
223	11032	28369
224	11082	28322
225	11147	28312
226	11272	28453
227	11329	28424
228	11401	28427
229	11447	28370
230	11496	28318
231	11550	28277
232	11602	28235
233	11655	28192
234	11705	28142
235	11759	28104
236	11818	28075
237	11868	28026
238	11913	27964
239	11968	27926
240	12025	27893
241	12077	27848
242	12131	27807
243	12188	27773
244	12251	27753
245	12305	27712
246	12355	27662
247	12401	27603
248	12449	27549
249	12491	27481
250	12541	27432
251	12587	27372
252	12632	27312
253	12688	27276
254	12756	27263
255	12823	27248
256	12900	27255
257	12981	27271
258	13037	27233
259	13091	27191
260	13132	27121
261	13181	27067
262	13238	27031
263	13276	26954
264	13318	26887
265	13359	26820
266	13398	26747
267	13439	26678
268	13479	26609
269	13521	26542
270	13579	26507
271	13631	26460
272	13678	26405
273	13725	26348
274	13765	26280
275	13811	26222
276	13858	26165
277	13908	26115
278	13962	26073
279	14008	26015
280	14055	25959
281	14102	25904
282	14144	25839
283	14188	25779
284	14233	25720
285	14273	25652
286	14315	25587
287	14370	25548
288	14412	25484
289	14453	25418
290	14499	25361
291	14545	25305
292	14616	25292
293	14661	25234
294	14712	25186
295	14760	25132
296	14801	25067
297	14842	25003
298	14884	24939
299	14927	24879
300	14966	24810
301	15011	24754
302	15055	24695
303	15100	24637
304	15145	24581
305	15190	24523
306	15231	24458
307	15321	24474
308	15405	24480
309	15478	24466
310	15534	24425
311	15603	24404
312	15664	24372
313	15723	24336
314	15775	24288
315	15828	24243
316	15890	24211
317	15935	24154
318	15970	24080
319	16004	24007
320	16039	23934
321	16078	23868
322	16123	23810
323	16167	23751
324	16209	23690
325	16247	23623
326	16288	23561
327	16323	23489
328	16356	23416
329	16388	23341
330	16419	23265
331	16458	23200
332	16491	23128
333	16527	23058
334	16564	22992
335	16601	22926
336	16633	22853
337	16667	22781
338	16706	22718
339	16739	22647
340	16775	22580
341	16808	22509
342	16839	22436
343	16876	22371
344	16908	22300
345	16942	22231
346	16978	22165
347	17014	22099
348	17051	22035
349	17087	21970
350	17119	21899
351	17151	21829
352	17187	21764
353	17223	21699
354	17257	21632
355	17295	21570
356	17329	21504
357	17362	21436
358	17395	21368
359	17427	21299
360	17460	21233
361	17493	21166
362	17531	21105
363	17568	21043
364	17605	20981
365	17639	20916
366	17673	20851
367	17707	20787
368	17740	20720
369	17783	20667
370	17816	20602
371	17853	20541
372	17889	20479
373	17922	20414
374	17954	20348
375	17986	20283
376	18021	20219
377	18057	20159
378	18091	20096
379	18125	20033
380	18160	19971
381	18193	19908
382	18226	19844
383	18260	19782
384	18299	19725
385	18333	19662
386	18368	19602
387	18401	19540
388	18437	19480
389	18471	19418
390	18504	19356
391	18546	19303
392	18580	19241
393	18614	19181
394	18647	19119
395	18683	19060
396	18714	18997
397	18748	18937
398	18781	18875
399	18815	18815
400	18849	18755
401	18881	18693
402	18914	18632
403	18951	18575
404	18984	18515
405	19019	18457
406	19053	18398
407	19098	18349
408	19132	18290
409	19171	18236
410	19207	18179
411	19247	18126
412	19285	18071
413	19317	18011
414	19358	17959
415	19392	17900
416	19426	17842
417	19458	17782
418	19492	17724
419	19526	17666
420	19558	17607
421	19593	17550
422	19627	17492
423	19660	17434
424	19695	17378
425	19740	17330
426	19788	17285
427	19830	17236
428	19912	17220
429	19966	17180
430	20000	17123
431	20035	17066
432	20070	17010
433	20101	16951
434	20135	16895
435	20169	16839
436	20204	16783
437	20236	16724
438	20268	16667
439	20301	16610
440	20334	16553
441	20368	16497
442	20402	16442
443	20437	16386
444	20471	16331
445	20504	16274
446	20539	16220
447	20574	16165
448	20606	16109
449	20646	16058
450	20679	16002
451	20713	15947
452	20745	15891
453	20780	15836
454	20812	15781
455	20845	15725
456	20878	15670
457	20911	15615
458	20945	15561
459	20979	15506
460	21014	15453
461	21051	15401
462	21084	15346
463	21119	15293
464	21154	15240
465	21191	15188
466	21226	15136
467	21260	15082
468	21294	15028
469	21328	14975
470	21362	14921
471	21396	14868
472	21432	14816
473	21467	14764
474	21497	14708
475	21536	14659
476	21568	14605
477	21603	14552
478	21636	14499
479	21669	14446
480	21703	14393
481	21737	14341
482	21771	14289
483	21808	14238
484	21843	14186
485	21877	14134
486	21909	14081
487	21943	14029
488	21980	13979
489	22013	13926
490	22048	13875
491	22082	13824
492	22115	13771
493	22148	13719
494	22181	13667
495	22215	13615
496	22252	13566
497	22288	13516
498	22322	13464
499	22357	13414
500	22391	13363
501	22429	13314
502	22461	13262
503	22496	13212
504	22530	13161
505	22562	13109
506	22596	13058
507	22634	13010
508	22669	12960
509	22703	12909
510	22734	12857
511	22771	12808
512	22803	12757
513	22840	12708
514	22871	12657
515	22903	12605
516	22936	12555
517	22970	12505
518	23010	12458
519	23042	12407
520	23075	12357
521	23114	12309
522	23148	12260
523	23187	12213
524	23226	12166
525	23262	12117
526	23300	12070
527	23337	12022
528	23373	11973
529	23406	11923
530	23439	11874
531	23472	11824
532	23511	11777
533	23545	11728
534	23580	11680
535	23614	11630
536	23650	11583
537	23683	11533
538	23717	11484
539	23750	11435
540	23783	11386
541	23815	11336
542	23851	11288
543	23885	11240
544	23922	11193
545	23957	11144
546	23992	11096
547	24027	11049
548	24062	11001
549	24096	10952
550	24130	10904
551	24163	10856
552	24196	10807
553	24231	10759
554	24264	10711
555	24296	10662
556	24332	10615
557	24365	10567
558	24399	10519
559	24433	10471
560	24466	10423
561	24502	10376
562	24535	10328
563	24568	10280
564	24609	10235
565	24641	10187
566	24678	10141
567	24714	10094
568	24759	10051
569	24801	10007
570	24841	9962
571	24883	9918
572	24926	9874
573	24957	9826
574	24991	9779
575	25024	9731
576	25057	9684
577	25090	9636
578	25123	9589
579	25159	9543
580	25192	9495
581	25225	9448
582	25259	9401
583	25290	9354
584	25324	9307
585	25355	9259
586	25389	9213
587	25424	9166
588	25456	9119
589	25491	9073
590	25525	9026
591	25557	8979
592	25598	8935
593	25629	8888
594	25666	8843
595	25700	8796
596	25736	8751
597	25768	8704
598	25801	8657
599	25833	8611
600	25866	8564
601	25902	8519
602	25934	8472
603	25969	8427
604	26007	8382
605	26049	8339
606	26083	8293
607	26115	8246
608	26149	8201
609	26182	8155
610	26217	8109
611	26262	8067
612	26300	8023
613	26343	7980
614	26382	7936
615	26424	7893
616	26463	7849
617	26499	7804
618	26532	7758
619	26565	7712
620	26598	7666
621	26633	7621
622	26668	7576
623	26706	7532
624	26748	7489
625	26793	7447
626	26836	7404
627	26875	7360
628	26915	7317
629	26959	7274
630	27003	7232
631	27034	7186
632	27069	7141
633	27103	7096
634	27135	7050
635	27169	7005
636	27200	6960
637	27237	6916
638	27272	6871
639	27307	6826
