iter	RMSE
0	1066.256612
1	1059.865856
2	1053.622967
3	1047.782308
4	1042.164548
5	1036.789651
6	1031.76139
7	1027.066275
8	1022.540004
9	1017.913144
10	1013.846257
11	1009.798069
12	1005.936219
13	1002.117456
14	998.5959522
15	995.2204856
16	991.9916664
17	988.992354
18	986.0512048
19	983.0806837
20	980.5244098
21	977.8842188
22	975.1976014
23	972.6499307
24	970.2863817
25	967.9313879
26	965.769534
27	963.57847
28	961.4275796
29	959.3046236
30	957.3550461
31	955.6091006
32	953.8470522
33	952.0142844
34	950.5024016
35	948.9915643
36	947.4389401
37	946.0474833
38	944.5077601
39	942.951983
40	941.5947774
41	940.2454612
42	939.0797786
43	937.8119825
44	936.4693605
45	935.1735397
46	933.9643813
47	932.7591029
48	931.5897277
49	930.6029217
50	929.3775642
51	928.4076946
52	927.5244054
53	926.5404607
54	925.5940605
55	924.6493813
56	923.7158702
57	922.5807039
58	921.8582817
59	920.7553476
60	919.8350217
61	918.8720402
62	917.9534936
63	917.1996249
64	916.3694191
65	915.6000544
66	914.7801008
67	913.9457981
68	913.2855383
69	912.4514575
70	911.7210749
71	910.9109486
72	910.2252489
73	909.450727
74	908.9123454
75	908.4867933
76	907.886564
77	907.1331212
78	906.5656854
79	905.814001
80	905.1336518
81	904.5085635
82	903.9065777
83	903.2443446
84	902.730373
85	902.101632
86	901.5120498
87	900.9373319
88	900.3988179
89	899.8605912
90	899.4117371
91	898.9201245
92	898.3951972
93	897.8371013
94	897.4042018
95	896.8271314
96	896.3342335
97	895.8735226
98	895.4334523
99	895.0413639
100	894.6463239
101	894.1494076
102	893.7532469
103	893.3577678
104	892.9743018
105	892.6187753
106	892.2928289
107	891.9125857
108	891.4424528
109	891.0740341
110	890.8198624
111	890.449361
112	889.8524862
113	889.5132119
114	889.1678113
115	888.8730991
116	888.5190563
117	888.2104984
118	887.8416252
119	887.3239261
120	887.0544904
121	886.6221201
122	886.3744954
123	886.1037354
124	885.7309844
125	885.4034514
126	885.0514761
127	884.8064867
128	884.5793885
129	884.2566556
130	883.9401473
131	883.5745436
132	883.1146408
133	882.7749904
134	882.5118614
135	882.2238525
136	881.9223716
137	881.6402958
138	881.3833302
139	881.1592059
140	880.9126381
141	880.5817472
142	880.1735212
143	879.9119343
144	879.6079261
145	879.3617602
146	879.1574234
147	878.8184475
148	878.4849828
149	878.2388444
150	877.9718371
151	877.6127651
152	877.3638396
153	877.0099834
154	876.7831544
155	876.4900501
156	876.2369653
157	875.9651696
158	875.6993918
159	875.5349216
160	875.2923752
161	875.0854886
162	874.8907984
163	874.6321624
164	874.4589471
165	874.2031854
166	873.9804499
167	873.837471
168	873.5381276
169	873.2351764
170	873.0026732
171	872.7770777
172	872.5428486
173	872.3089415
174	872.1102466
175	871.844966
176	871.697507
177	871.584106
178	871.4934078
179	871.3276534
180	871.187888
181	871.030287
182	870.9108883
183	870.77861
184	870.535094
185	870.3868647
186	870.2008095
187	870.0721223
188	869.9869894
189	869.8276872
190	869.6452925
191	869.4486276
192	869.2711285
193	869.0819587
194	868.9600643
195	868.7641669
196	868.6149779
197	868.3871176
198	868.2832643
199	868.0450366
200	867.8799187
201	867.7069113
202	867.5993646
203	867.4375877
204	867.2954042
205	867.1276996
206	866.8939498
207	866.7383342
208	866.5841184
209	866.4761453
210	866.3716883
211	866.2374675
212	866.148259
213	866.0363772
214	865.9435425
215	865.7842897
216	865.6850308
217	865.5307155
218	865.4160373
219	865.3551716
220	865.2399985
221	865.1469739
222	865.0385757
223	864.8809482
224	864.7931981
225	864.6590816
226	864.5650655
227	864.4777505
228	864.3100486
229	864.1564942
230	863.988246
231	863.8360241
232	863.6510357
233	863.5347966
234	863.3923654
235	863.2482527
236	863.1280845
237	862.9772307
238	862.8502909
239	862.7429271
240	862.6299829
241	862.4478076
242	862.3745586
243	862.2786499
244	862.1346443
245	862.0305435
246	861.9676346
247	861.8071005
248	861.7064081
249	861.5882331
250	861.4896648
251	861.3792204
252	861.254856
253	861.1536301
254	861.0776867
255	861.0089796
256	860.9200388
257	860.832555
258	860.7121778
259	860.5927627
260	860.4879116
261	860.3791182
262	860.263799
263	860.1578629
264	860.0941233
265	859.9887684
266	859.9191538
267	859.7702908
268	859.6759013
269	859.6012117
270	859.5432402
271	859.468159
272	859.3244068
273	859.2650639
274	859.1462133
275	859.043163
276	858.9486144
277	858.8463175
278	858.7802899
279	858.7336799
280	858.6156081
281	858.5217256
282	858.463025
283	858.4011694
284	858.2839519
285	858.1838815
286	858.0555345
287	857.9713633
288	857.8624186
289	857.7772405
290	857.673543
291	857.6211766
292	857.5105805
293	857.4294728
294	857.3393894
295	857.2276241
296	857.1139797
297	857.0141654
298	856.8974432
299	856.7811214
300	856.6913743
301	856.5753123
302	856.5316538
303	856.4676676
304	856.3672028
305	856.3118606
306	856.2208086
307	856.1176595
308	856.0334065
309	855.9674874
310	855.9013323
311	855.8149377
312	855.7619397
313	855.6493537
314	855.5234359
315	855.4548744
316	855.3625089
317	855.263753
318	855.2052562
319	855.1005184
320	855.0218969
321	854.9132585
322	854.8753143
323	854.8049151
324	854.7024822
325	854.6223656
326	854.5159093
327	854.439586
328	854.3905227
329	854.2866395
330	854.2199091
331	854.1656275
332	854.105498
333	854.0165781
334	853.91657
335	853.8348757
336	853.7828225
337	853.7335518
338	853.6397026
339	853.5675954
340	853.4819399
341	853.4087748
342	853.3417729
343	853.2936192
344	853.2233545
345	853.1409253
346	853.0597211
347	852.9786312
348	852.9027736
349	852.863687
350	852.79321
351	852.7489245
352	852.6676317
353	852.5946431
354	852.5176766
355	852.4682514
356	852.3918984
357	852.3363113
358	852.2821669
359	852.2012777
360	852.1575051
361	852.0590623
362	851.9851796
363	851.9191548
364	851.8264416
365	851.719789
366	851.6574949
367	851.5858928
368	851.5128533
369	851.479562
370	851.4127606
371	851.3618002
372	851.3054805
373	851.219726
374	851.1345726
375	851.0718582
376	851.0191213
377	850.9717214
378	850.9120482
379	850.8594773
380	850.7906009
381	850.7058497
382	850.6298059
383	850.5861306
384	850.4791949
385	850.406804
386	850.3802086
387	850.3032657
388	850.2266465
389	850.1650197
390	850.1184206
391	850.0750121
392	850.0121189
393	849.9187071
394	849.8287634
395	849.7408791
396	849.6879722
397	849.6129597
398	849.5428777
399	849.4706669
400	849.381027
401	849.342843
402	849.2913432
403	849.2258423
404	849.1818422
405	849.0925134
406	849.0291471
407	848.9905594
408	848.9203429
409	848.8845401
410	848.8261295
411	848.7601135
412	848.6662889
413	848.5937904
414	848.5475829
415	848.4816047
416	848.4054697
417	848.3394689
418	848.2678953
419	848.2015698
420	848.1041565
421	848.0434945
422	847.9722839
423	847.9101885
424	847.8477748
425	847.8216293
426	847.7722617
427	847.6936459
428	847.6200609
429	847.5664816
430	847.5011242
431	847.41945
432	847.3703383
433	847.306896
434	847.2656164
435	847.1962728
436	847.1317498
437	847.0793158
438	847.049249
439	846.9999655
440	846.9717012
441	846.9229049
442	846.8557579
443	846.8104483
444	846.7424252
445	846.6634803
446	846.6088544
447	846.5403725
448	846.4778693
449	846.3937602
450	846.3369123
451	846.273481
452	846.2153771
453	846.1306764
454	846.0804023
455	846.014745
456	845.9609422
457	845.9419676
458	845.875107
459	845.789486
460	845.7179036
461	845.6695851
462	845.6139743
463	845.5820073
464	845.5043503
465	845.4222005
466	845.3481205
467	845.3241625
468	845.271005
469	845.2446682
470	845.1837213
471	845.1015876
472	845.0824805
473	844.9943036
474	844.9497974
475	844.9271702
476	844.8496245
477	844.8076947
478	844.7196245
479	844.6978236
480	844.6231454
481	844.5925096
482	844.5398295
483	844.5072352
484	844.4461071
485	844.4139101
486	844.3478055
487	844.282409
488	844.2251474
489	844.1656686
490	844.1090486
491	844.0522712
492	843.9817904
493	843.9225193
494	843.8700374
495	843.8137229
496	843.7665987
497	843.6912874
498	843.6605724
499	843.5999947
500	843.5507011
501	843.5394908
502	843.4687477
503	843.4280173
504	843.3945432
505	843.3387918
506	843.2755745
507	843.2173017
508	843.1298843
509	843.0963907
510	843.0351108
511	842.9803625
512	842.9630418
513	842.9233775
514	842.8984957
515	842.8291643
516	842.7523965
517	842.7063484
518	842.6276186
519	842.578651
520	842.5037572
521	842.4355677
522	842.3827691
523	842.2964401
524	842.2783226
525	842.2260722
526	842.151018
527	842.1326994
528	842.0782011
529	842.0029784
530	841.9698945
531	841.9257859
532	841.8744609
533	841.8233607
534	841.7629771
535	841.740923
536	841.6696479
537	841.6252669
538	841.5745256
539	841.5380893
540	841.4639169
541	841.3803349
542	841.3444378
543	841.2786343
544	841.2240349
545	841.1862952
546	841.1022161
547	841.0386556
548	840.9778365
549	840.9474628
550	840.9262546
551	840.8704875
552	840.8382962
553	840.7855657
554	840.7568323
555	840.7273426
556	840.6649035
557	840.6055305
558	840.5836991
559	840.5552047
560	840.5211869
561	840.4443651
562	840.3960932
563	840.3568206
564	840.3007352
565	840.2762812
566	840.1946925
567	840.1178202
568	840.0301157
569	839.9887586
570	839.9371497
571	839.8673814
572	839.8294387
573	839.7826177
574	839.7624384
575	839.6924382
576	839.6451605
577	839.5699335
578	839.5230224
579	839.4491915
580	839.3945677
581	839.3361528
582	839.2855738
583	839.2459887
584	839.2192059
585	839.1513798
586	839.1235229
587	839.0883
588	839.0242096
589	839.0061687
590	838.9419707
591	838.9003928
592	838.8523437
593	838.7998991
594	838.7411995
595	838.7294994
596	838.671155
597	838.5917641
598	838.5362256
599	838.4816323
600	838.4274647
601	838.3524352
602	838.2878162
603	838.2354125
604	838.1767337
605	838.0974196
606	838.0712418
607	838.0380514
608	837.9668755
609	837.9053854
610	837.8832094
611	837.8500696
612	837.807454
613	837.7375634
614	837.6810469
615	837.6405507
616	837.5729563
617	837.5050772
618	837.466361
619	837.4055899
620	837.3535897
621	837.2755734
622	837.1989562
623	837.1680905
624	837.0880171
625	837.0432399
626	836.9913916
627	836.9707993
628	836.9476661
629	836.9100776
630	836.8285154
631	836.7825803
632	836.7230936
633	836.6881171
634	836.6622348
635	836.6185134
636	836.5628618
637	836.5310006
638	836.4960489
639	836.4623572
640	836.4136172
641	836.3702094
642	836.2684314
643	836.2262817
644	836.1933987
645	836.1692475
646	836.1019342
647	836.0376348
648	836.0045777
649	835.9579868
650	835.907153
651	835.8361463
652	835.7828508
653	835.7326129
654	835.6823126
655	835.6179078
656	835.6055574
657	835.5853952
658	835.5424057
659	835.4891221
660	835.4485248
661	835.3771772
662	835.3383078
663	835.2733806
664	835.2235295
665	835.2028765
666	835.1513074
667	835.1130829
668	835.0713573
669	835.0262948
670	835.0078342
671	834.9362637
672	834.8879184
673	834.8489033
674	834.8000157
675	834.7306469
676	834.6690834
677	834.6269819
678	834.6071207
679	834.5387986
680	834.4779337
681	834.4137716
682	834.3710685
683	834.319538
684	834.2782122
685	834.2177879
686	834.1811084
687	834.1336871
688	834.0767645
689	834.0334491
690	833.9844048
691	833.9393252
692	833.9242695
693	833.8890968
694	833.8480408
695	833.785526
696	833.7357439
697	833.6914985
698	833.666816
699	833.6287981
700	833.5626223
701	833.5054482
702	833.4649313
703	833.4336415
704	833.3949288
705	833.3535541
706	833.2944346
707	833.2508432
708	833.2014032
709	833.1441987
710	833.0991973
711	833.0374544
712	833.0166471
713	833.0011589
714	832.9419684
715	832.873081
716	832.8111584
717	832.7419004
718	832.7247257
719	832.6640893
720	832.6055667
721	832.526756
722	832.4884394
723	832.45157
724	832.4057243
725	832.3619501
726	832.3273045
727	832.2800279
728	832.2148552
729	832.1509009
730	832.1393794
731	832.0779491
732	832.0602763
733	832.024494
734	831.9965607
735	831.9521995
736	831.9133348
737	831.8557973
738	831.7717964
739	831.7094717
740	831.6773429
741	831.6313608
742	831.6150042
743	831.5764084
744	831.559481
745	831.5274572
746	831.4857516
747	831.4180518
748	831.3612529
749	831.3147765
750	831.2741984
751	831.2276831
752	831.1830699
753	831.1381823
754	831.0517935
755	831.0247461
756	830.9925383
757	830.9460203
758	830.9112145
759	830.8588863
760	830.8140469
761	830.7768802
762	830.7421197
763	830.6798756
764	830.6415405
765	830.5929173
766	830.5382909
767	830.4993529
768	830.4475576
769	830.4158659
770	830.3606943
771	830.3208119
772	830.2593113
773	830.2333364
774	830.2172792
775	830.1728533
776	830.1115735
777	830.0849004
778	830.0424144
779	830.0106536
780	829.9607362
781	829.9136264
782	829.8691794
783	829.847997
784	829.8142046
785	829.7582294
786	829.695864
787	829.6375491
788	829.5666274
789	829.5259974
790	829.4813993
791	829.4144093
792	829.3869081
793	829.3699808
794	829.3324355
795	829.2985054
796	829.2625988
797	829.2371094
798	829.2081111
799	829.1625188
