iter	Passed	Remaining
0	209	167451
1	243	97288
2	277	73702
3	311	61998
4	347	55249
5	383	50815
6	435	49330
7	477	47236
8	513	45099
9	553	43741
10	597	42840
11	637	41889
12	682	41295
13	723	40606
14	763	39943
15	804	39421
16	859	39608
17	914	39710
18	974	40062
19	1020	39802
20	1063	39441
21	1110	39277
22	1152	38944
23	1197	38713
24	1234	38277
25	1270	37827
26	1305	37390
27	1341	36995
28	1378	36656
29	1431	36731
30	1489	36946
31	1542	37010
32	1578	36693
33	1627	36660
34	1715	37491
35	1773	37636
36	1810	37331
37	1849	37081
38	1885	36787
39	1926	36610
40	1965	36386
41	2001	36124
42	2039	35911
43	2076	35669
44	2112	35438
45	2147	35195
46	2179	34922
47	2212	34657
48	2249	34476
49	2282	34232
50	2316	34013
51	2349	33790
52	2381	33570
53	2415	33376
54	2451	33207
55	2483	33000
56	2518	32826
57	2553	32661
58	2585	32473
59	2619	32303
60	2653	32146
61	2685	31963
62	2718	31806
63	2753	31661
64	2784	31490
65	2818	31342
66	2852	31205
67	2885	31064
68	2918	30918
69	2953	30799
70	2985	30656
71	3020	30536
72	3054	30417
73	3088	30302
74	3124	30201
75	3151	30017
76	3190	29954
77	3226	29863
78	3272	29864
79	3332	29989
80	3379	30002
81	3418	29935
82	3455	29850
83	3493	29779
84	3538	29767
85	3572	29660
86	3604	29544
87	3639	29448
88	3673	29349
89	3707	29250
90	3743	29165
91	3779	29085
92	3814	28996
93	3849	28913
94	3883	28818
95	3917	28728
96	3949	28623
97	3982	28526
98	4015	28431
99	4047	28335
100	4080	28238
101	4113	28150
102	4145	28051
103	4178	27966
104	4211	27876
105	4243	27784
106	4275	27688
107	4311	27626
108	4351	27587
109	4385	27506
110	4417	27421
111	4451	27345
112	4485	27272
113	4517	27185
114	4550	27105
115	4585	27041
116	4618	26959
117	4651	26885
118	4685	26811
119	4717	26734
120	4751	26664
121	4784	26591
122	4816	26512
123	4850	26444
124	4883	26370
125	4915	26292
126	4951	26238
127	4992	26209
128	5032	26176
129	5074	26152
130	5108	26090
131	5144	26035
132	5179	25974
133	5214	25918
134	5251	25869
135	5293	25846
136	5341	25850
137	5388	25849
138	5424	25794
139	5459	25736
140	5496	25687
141	5531	25631
142	5571	25597
143	5605	25535
144	5641	25485
145	5686	25470
146	5740	25502
147	5805	25575
148	5845	25537
149	5917	25642
150	5971	25667
151	6035	25729
152	6083	25727
153	6121	25677
154	6157	25623
155	6198	25589
156	6238	25550
157	6275	25501
158	6315	25458
159	6352	25409
160	6390	25363
161	6430	25325
162	6467	25273
163	6505	25229
164	6586	25348
165	6685	25534
166	6785	25718
167	6869	25841
168	6912	25810
169	6953	25768
170	6992	25720
171	7030	25669
172	7085	25678
173	7133	25663
174	7172	25615
175	7209	25560
176	7245	25500
177	7278	25434
178	7313	25370
179	7349	25315
180	7388	25267
181	7427	25221
182	7465	25169
183	7506	25131
184	7544	25080
185	7579	25019
186	7614	24959
187	7652	24912
188	7692	24867
189	7737	24841
190	7785	24822
191	7823	24775
192	7860	24722
193	7901	24683
194	7944	24648
195	7989	24621
196	8027	24570
197	8064	24520
198	8098	24456
199	8132	24397
200	8165	24332
201	8198	24270
202	8231	24207
203	8264	24144
204	8306	24109
205	8358	24102
206	8413	24102
207	8451	24052
208	8485	23993
209	8520	23937
210	8559	23894
211	8600	23855
212	8643	23821
213	8685	23784
214	8727	23747
215	8776	23727
216	8812	23677
217	8849	23625
218	8883	23567
219	8926	23534
220	8971	23504
221	9008	23454
222	9040	23391
223	9080	23350
224	9116	23297
225	9152	23244
226	9191	23200
227	9230	23156
228	9268	23109
229	9306	23064
230	9346	23021
231	9384	22975
232	9430	22950
233	9476	22922
234	9518	22886
235	9592	22925
236	9670	22972
237	9704	22914
238	9739	22861
239	9773	22804
240	9808	22749
241	9846	22703
242	9880	22649
243	9917	22597
244	9953	22546
245	9990	22498
246	10030	22456
247	10075	22425
248	10122	22400
249	10159	22350
250	10198	22306
251	10232	22251
252	10265	22194
253	10297	22136
254	10332	22082
255	10369	22035
256	10415	22006
257	10462	21979
258	10506	21946
259	10545	21902
260	10580	21849
261	10625	21817
262	10677	21801
263	10728	21782
264	10776	21755
265	10812	21706
266	10850	21659
267	10892	21622
268	10938	21591
269	10984	21562
270	11033	21537
271	11075	21499
272	11109	21446
273	11152	21409
274	11208	21397
275	11253	21364
276	11288	21313
277	11322	21260
278	11360	21213
279	11394	21161
280	11436	21122
281	11480	21088
282	11521	21047
283	11554	20992
284	11587	20939
285	11624	20891
286	11658	20839
287	11692	20787
288	11739	20757
289	11784	20724
290	11829	20691
291	11866	20645
292	11899	20591
293	11933	20537
294	11966	20485
295	12004	20439
296	12050	20408
297	12094	20373
298	12138	20339
299	12174	20290
300	12206	20236
301	12240	20184
302	12273	20132
303	12307	20080
304	12355	20052
305	12402	20022
306	12439	19976
307	12477	19931
308	12510	19878
309	12544	19828
